Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
High Fat,Pre-treatment_Post-treatment,0.061356674,Otu00001,0.043002876,0.128417535,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.057251324,0.114182811,0.069809321,0.020958514
High Fat,Pre-treatment_Post-treatment,0.049090565,Otu00005,0.001720144,0.010093673,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.0838579,0.063598775,0.008122491,0.00610482
High Fat,Pre-treatment_Post-treatment,0.046879059,Otu00012,0.00032694,0.003549607,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.002512136,0.003393266,0.075658368,0.024513195
High Fat,Pre-treatment_Post-treatment,0.045955231,Otu00006,0.291615165,0.530364422,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.07165183,0.097066583,0.00233516,0.005143558
High Fat,Pre-treatment_Post-treatment,0.041705353,Otu00011,0.156701665,0.366422691,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.065375134,0.069248093,0.000467379,0.000488341
High Fat,Pre-treatment_Post-treatment,0.041306428,Otu00014,0.000133114,0.002069924,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0,0,0.06445697,0.027301251
High Fat,Pre-treatment_Post-treatment,0.038448491,Otu00013,0.963700892,0.971028534,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.059605048,0.07459827,0.003792858,0.003613456
High Fat,Pre-treatment_Post-treatment,0.034943677,Otu00004,0.002315807,0.012451231,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.051729271,0.015810362,0.104364382,0.03034977
High Fat,Pre-treatment_Post-treatment,0.032509448,Otu00010,0.000346122,0.003549607,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.009592451,0.005527549,0.06030337,0.018478357
High Fat,Pre-treatment_Post-treatment,0.024176773,Otu00015,0.000479365,0.004029257,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.037784131,0.024141009,0,0
High Fat,Male_Female,0.068312217,Otu00002,0.824122747,0.8944721,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.072894275,0.082949181,0.087652534,0.088160224
High Fat,Male_Female,0.068295893,Otu00001,0.23938572,0.473584464,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.034944729,0.037690692,0.099262315,0.105122103
High Fat,Male_Female,0.064408694,Otu00006,0.000404415,0.003699211,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.083235364,0.097407065
High Fat,Male_Female,0.04653116,Otu00011,0.007669765,0.032301107,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.013561068,0.042332356,0.057121493,0.068411815
High Fat,Male_Female,0.045518111,Otu00005,0.722282963,0.825845593,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.056248093,0.063615331,0.033167824,0.053020448
High Fat,Male_Female,0.042565651,Otu00013,0.142814491,0.336479597,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.055274216,0.071552002,0.002229874,0.002894071
High Fat,Male_Female,0.03468404,Otu00012,0.858302279,0.905750428,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.038415771,0.040749422,0.039922102,0.044755263
High Fat,Male_Female,0.030972295,Otu00014,0.849427953,0.901641877,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,0.033722454,0.038730794,0.030361023,0.039835613
High Fat,Male_Female,0.030899468,Otu00004,0.533964013,0.729074514,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.081750461,0.03709615,0.073417282,0.036138436
High Fat,Male_Female,0.026611192,Otu00009,0.299747734,0.53489805,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.034192725,0.087665165,0.000263019,0.000743931
High Fat,Male_Female,0.026229524,Otu00008,0.241786242,0.473584464,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.006203764,0.011225167,0.033905787,0.038960501
